Sample time,Sample number,Sample type,Hardness Total (Calcd.) CaCO3 [Lab: 36] [VMV: 10602],Status(0),Unit code(0),Value modifier code(0),Hardness Total (Calcd.) CaCO3 [Lab: 1] [VMV: 10602],Status(1),Unit code(1),Value modifier code(1),Selenium Extractable [Lab: 1] [VMV: 34302],Status(2),Unit code(2),Value modifier code(2),Sodium Extractable [Lab: 36] [VMV: 11321],Status(3),Unit code(3),Value modifier code(3)
1992-08-07 16:15:00,92PY001521,1,139.00000000,U,MG/L,,,,,,,,,,2.00000000,U,MG/L,
1992-08-27 16:05:00,92PY001530,1,145.00000000,U,MG/L,,,,,,,,,,2.10000000,U,MG/L,
1992-10-07 17:20:00,92PY001774,1,159.00000000,U,MG/L,,,,,,,,,,2.20000000,U,MG/L,
1992-10-21 21:50:00,92PY001817,1,182.00000000,U,MG/L,,,,,,,,,,3.80000000,U,MG/L,
1992-12-09 23:00:00,92PY002095,1,186.00000000,U,MG/L,,,,,,,,,,2.60000000,U,MG/L,
1993-01-15 18:40:00,93PY000130,1,194.00000000,U,MG/L,,,,,,,,,,3.00000000,U,MG/L,
1993-02-18 18:30:00,93PY000404,1,191.00000000,U,MG/L,,,,,,,,,,3.10000000,U,MG/L,
1993-05-07 17:50:00,93PY000879,1,94.00000000,U,MG/L,,,,,,,,,,1.90000000,U,MG/L,
1993-05-19 18:05:00,93PY000920,1,78.30000000,U,MG/L,,,,,,,,,,1.20000000,U,MG/L,
1993-08-27 17:35:00,93PY001740,1,156.00000000,U,MG/L,,,,,,,,,,2.30000000,U,MG/L,
1993-09-03 17:10:00,93PY001793,1,159.00000000,U,MG/L,,,,,,,,,,2.30000000,U,MG/L,
1993-09-08 17:16:00,93PY001842,1,153.00000000,U,MG/L,,,,,,,,,,2.30000000,U,MG/L,
1993-09-15 17:40:00,93PY001900,1,152.00000000,U,MG/L,,,,,,,,,,2.40000000,U,MG/L,
1993-09-29 17:45:00,93PY002015,1,158.00000000,U,MG/L,,,,,,,,,,2.40000000,U,MG/L,
1993-10-13 17:35:00,93PY002120,1,150.00000000,U,MG/L,,,,,,,,,,2.20000000,U,MG/L,
1993-10-21 18:15:00,93PY002170,1,155.00000000,U,MG/L,,,,,,,,,,2.20000000,U,MG/L,
1993-10-27 17:15:00,93PY002229,1,155.00000000,U,MG/L,,,,,,,,,,2.20000000,U,MG/L,
1993-11-08 19:15:00,93PY002310,1,187.00000000,U,MG/L,,,,,,,,,,2.80000000,U,MG/L,
1993-11-24 23:06:00,93PY002432,1,202.00000000,U,MG/L,,,,,,,,,,3.10000000,U,MG/L,
1993-12-08 18:20:00,93PY002530,1,190.00000000,U,MG/L,,,,,,,,,,2.70000000,U,MG/L,
1994-01-17 18:55:00,94PY000098,1,205.00000000,U,MG/L,,,,,,,,,,3.00000000,U,MG/L,
1994-02-10 22:20:00,94PY000311,1,,,,,201.00000000,U,MG/L,,,,,,,,,
1994-04-25 17:20:00,94PY000818,1,159.00000000,U,MG/L,,,,,,0.00080000,U,MG/L,,2.70000000,U,MG/L,
1994-05-03 17:15:00,94PY000869,1,122.00000000,U,MG/L,,,,,,0.00080000,U,MG/L,,2.20000000,U,MG/L,
1994-05-11 18:20:00,94PY000900,1,111.00000000,U,MG/L,,,,,,0.00080000,U,MG/L,,1.80000000,U,MG/L,
1994-05-17 18:15:00,94PY000936,1,103.00000000,U,MG/L,,,,,,0.00100000,U,MG/L,,1.60000000,U,MG/L,
1994-05-25 21:54:00,94PY001004,1,87.30000000,U,MG/L,,,,,,0.00140000,U,MG/L,,1.20000000,U,MG/L,
1994-08-25 21:02:00,94PY001728,1,157.00000000,U,MG/L,,,,,,0.00090000,U,MG/L,,2.40000000,U,MG/L,
1994-09-09 20:20:00,94PY001785,1,170.00000000,U,MG/L,,,,,,0.00090000,U,MG/L,,2.30000000,U,MG/L,
1994-09-22 17:20:00,94PY002068,1,176.00000000,U,MG/L,,,,,,,,,,2.30000000,U,MG/L,
1994-10-06 21:23:00,94PY002047,1,154.00000000,U,MG/L,,,,,,,,,,2.10000000,U,MG/L,
1994-10-20 09:20:00,94PY002145,1,159.00000000,U,MG/L,,,,,,,,,,2.10000000,U,MG/L,
1994-11-02 22:20:00,95PY000056,1,192.00000000,U,MG/L,,,,,,,,,,2.80000000,U,MG/L,
1995-05-04 17:25:00,95PY000867,1,114.00000000,U,MG/L,,,,,,,,,,1.90000000,U,MG/L,
1995-05-16 08:45:00,95PY000929,1,87.80000000,U,MG/L,,,,,,,,,,1.10000000,U,MG/L,
1995-09-08 21:15:00,95PY001702,1,130.00000000,U,MG/L,,,,,,,,,,2.00000000,U,MG/L,
1995-09-20 17:20:00,95PY001763,1,143.00000000,U,MG/L,,,,,,,,,,1.90000000,U,MG/L,
1995-09-27 20:05:00,95PY001824,1,157.00000000,U,MG/L,,,,,,,,,,2.20000000,U,MG/L,
1995-10-20 21:25:00,95PY001992,1,170.00000000,U,MG/L,,,,,,,,,,2.40000000,U,MG/L,
1996-04-26 20:55:00,96PY001281,1,169.00000000,U,MG/L,,,,,,,,,,2.40000000,U,MG/L,
1996-05-27 21:12:00,96PY001819,1,81.70000000,U,MG/L,,,,,,,,,,1.00000000,U,MG/L,
1996-08-29 21:05:00,96PY004528,1,117.00000000,U,MG/L,,,,,,,,,,1.70000000,U,MG/L,
1996-09-13 18:15:00,96PY004999,1,140.00000000,U,MG/L,,,,,,,,,,1.90000000,U,MG/L,
